Country,Country Code,2014,Country2,2011
Australia,AUS,18.98,Australia,17.8
Austria,AUT,28.41,Austria,27.7
Belgium,BEL,30.69,Belgium,29.4
Canada,CAN,16.96,Canada,17.4
Chile,CHL,10.03,Chile,10.1
Czech Republic,CZE,20.58,Czech Republic,20.1
Denmark,DNK,30.14,Denmark,30.1
Estonia,EST,16.26,Estonia,16.8
Finland,FIN,31.04,Finland,28.3
France,FRA,31.88,France,31.0
Germany,DEU,25.80,Germany,25.5
Greece,GRC,24.00,Greece,25.7
Hungary,HUN,22.13,Hungary,22.6
Iceland,ISL,16.51,Iceland,18.1
Ireland,IRL,20.99,Ireland,22.3
Israel,IRS,15.03,Israel,15.2
Italy,ITA,28.64,Italy,27.5
Japan,JPN,23.07,Japan,23.1
Korea,KOR,10.41,Korea,9.0
Luxembourg,LUX,23.54,Luxembourg,22.5
Mexico,MEX,7.89,Mexico,7.7
Netherlands,NLD,24.74,Netherlands,23.5
New Zealand,NZL,20.75,New Zealand,20.7
Norway,NOR,22.03,Norway,21.8
Poland,PLO,20.61,Poland,20.1
Portugal,PRT,25.21,Portugal,24.8
Slovak Republic,SVK,18.36,Slovak Republic,18.1
Slovenia,SVN,23.72,Slovenia,24.0
Spain,ESP,26.77,Spain,26.8
Sweden,SWE,28.11,Sweden,27.2
Switzerland,CHE,19.39,Switzerland,19.3
Turkey,TUR,12.49,Turkey,12.2
United Kingdom,GBR,21.74,United Kingdom,22.7
United States,USA,19.23,United States,19.0
